"plugin","sites","pct"
"Sucuri Security - Auditing, Malware Scanner and Hardening","61","1.95"
"Envato Elements","61","1.95"
"Essential Blocks","61","1.95"
"Wordpress Automatic Plugin","61","1.95"
"Super Progressive Web Apps","61","1.95"
"Social Media and Share Icons (Ultimate Social Media)","61","1.95"
"Widgets for Google Reviews","60","1.92"
"Visual Footer Credit Remover","60","1.92"
"Redux Framework","59","1.88"
"Pinterest for WooCommerce","59","1.88"
"WP Crontrol","59","1.88"
"EmbedPress","59","1.88"
"Query Monitor","59","1.88"
"Post Types Order","59","1.88"
"All-In-One Security (AIOS)","59","1.88"
"SpeedyCache Pro","59","1.88"
"Easy WP SMTP","59","1.88"
"BeyondWords - Text-to-Speech","59","1.88"
"Kirki Customizer Framework","59","1.88"
"LoginPress","59","1.88"
"Inline Related Posts","59","1.88"
"Reading Time WP","58","1.85"
"HubSpot All-In-One Marketing - Forms, Popups, Live Chat","58","1.85"
"Microsoft Clarity","58","1.85"
"ShortPixel Image Optimizer","58","1.85"
"CoBlocks","58","1.85"
"Copy & Delete Posts","58","1.85"
"Safe SVG","58","1.85"
"All In One WP Security","57","1.82"
"Premium Addons for Elementor","57","1.82"
"Kadence Blocks – Gutenberg Blocks for Page Builder Features","57","1.82"
"Disable Gutenberg","56","1.79"
"Ninja Forms","56","1.79"
"Simple Sitemap","56","1.79"
"wpDiscuz","56","1.79"
"The Post Grid","55","1.76"
"BuddyPress","55","1.76"
"Vafpress Post Formats UI","55","1.76"
"3D FlipBook : Dflip Lite","54","1.73"
"WordPress Popular Posts","54","1.73"
"ManageWP - Worker","54","1.73"
"Site Mailer - SMTP Replacement, Email API Deliverability & Email Log","54","1.73"
"Enable Media Replace","53","1.69"
"FileOrganizer","53","1.69"
"Nextend Social Login","53","1.69"
"Jannah Speed Optimization","53","1.69"
"Otter – Page Builder Blocks & Extensions for Gutenberg","52","1.66"
"GN Publisher","52","1.66"
"WooCommerce Stripe Gateway","52","1.66"
"Font Awesome","51","1.63"
"Webpushr Push Notifications","51","1.63"
"Jannah Autoload Posts","50","1.6"
"Advanced Google reCAPTCHA","50","1.6"
"Flamingo","50","1.6"
"NextGEN Gallery","50","1.6"
"PageLayer","50","1.6"
"Extendify WordPress Onboarding and AI Assistant","50","1.6"
"Simple Local Avatars","50","1.6"
"Recent Posts Widget With Thumbnails","49","1.57"
"The Bluehost Plugin","49","1.57"
"GTM4WP - A Google Tag Manager (GTM) plugin for WordPress","49","1.57"
"GenerateBlocks","49","1.57"
"Schema & Structured Data for WP & AMP","48","1.53"
"Ivory Search","48","1.53"
"Astra Pro","48","1.53"
"FluentSMTP","48","1.53"
"Joinchat","48","1.53"
"Social Counters - Arqam Lite","48","1.53"
"WP Rollback","47","1.5"
"Loginizer Pro","47","1.5"
"XML Sitemap & Google News","47","1.5"
"WP Reset","47","1.5"
"TikTok","47","1.5"
"Smash Balloon Custom Facebook Feed","47","1.5"
"WP Dark Mode","47","1.5"
"tagDiv Newsletter","46","1.47"
"GDPR Cookie Compliance","46","1.47"
"Modern Image Formats","46","1.47"
"Team Members","45","1.44"
"Internal Link Juicer","45","1.44"
"Jannah - Extensions","45","1.44"
"Menu Icons","45","1.44"
"SiteSEO - SEO Simplified","45","1.44"
"WebP Express","45","1.44"
"tagDiv Mobile Theme","45","1.44"
"Categories to Tags Converter Importer","44","1.41"
"Taqyeem","44","1.41"
"tagDiv Opt-In Builder","44","1.41"
"MantraBrain Starter Sites","44","1.41"
"GA Google Analytics","44","1.41"
"Simple Author Box","43","1.37"
"Yet Another Related Posts Plugin (YARPP)","43","1.37"
"Site Assistant","43","1.37"
"WooCommerce.com Update Manager","43","1.37"
"Feedzy RSS Feeds Lite","43","1.37"
"Backuply Pro","43","1.37"
"Tutor LMS","43","1.37"
"WP Sitemap Page","42","1.34"
"SiteSEO Pro","42","1.34"
"Activity Log","42","1.34"
"JetEngine","42","1.34"
"bbPress","42","1.34"
"Sphere Core","42","1.34"
"Google Listings and Ads","42","1.34"
"Hostinger AI Assistant","41","1.31"
"Image Optimizer by Elementor – Compress, Resize and Optimize Images","41","1.31"
"Child Theme Configurator","40","1.28"
"Creative Mail by Newfold Digital","40","1.28"
"JNews - Essential","40","1.28"
"Advanced Database Cleaner","40","1.28"
"3D FlipBook : DearFlip Lite","40","1.28"
"Rank Math SEO with AI Best SEO Tools","40","1.28"
"Jannah Switcher","40","1.28"
"Paid Memberships Pro","39","1.25"
"PublishPress Authors","39","1.25"
"Admin and Site Enhancements (ASE)","39","1.25"
"WP Activity Log","39","1.25"
"Post Type Switcher","39","1.25"
"Simple History","39","1.25"
"WPMU DEV Dashboard","39","1.25"
"Redis Object Cache","39","1.25"
"Smush Pro","39","1.25"
"Custom Twitter Feeds","39","1.25"
"JNews - Social Share","38","1.21"
"WP Telegram","38","1.21"
"Embed Plus for YouTube Gallery, Livestream and Lazy Loading with Facades","38","1.21"
"Photo Gallery","38","1.21"
"Chaty","38","1.21"
"WPConsent","38","1.21"
"Accessibility Widget by OneTap – Easy One-Click Accessibility Toolbar","38","1.21"
"Solid Security Basic","38","1.21"
"JNews - JSON-LD","37","1.18"
"Page Builder by SiteOrigin","37","1.18"
"Sticky Social Icons","37","1.18"
"WP RSS Aggregator","37","1.18"
"TieLabs Instagram Feed","37","1.18"
"WP-PageNavi","37","1.18"
"Yoast SEO: News","37","1.18"
"Ocean Extra","37","1.18"
"AdRotate Banner Manager","37","1.18"
"SoftWP","37","1.18"
"Image Placeholders","37","1.18"
"Head, Footer and Post Injections","37","1.18"
"SmartMag Core","36","1.15"
"Download Manager","36","1.15"
"301 Redirects","36","1.15"
"Fonts Plugin | Use Google Fonts, Adobe Fonts or Upload Fonts","36","1.15"
"LearnPress","36","1.15"
"Jetpack CRM","36","1.15"
"Head & Footer Code","36","1.15"
"Contact Form CFDB7","36","1.15"
"SiteOrigin CSS","36","1.15"
"Blocksy Companion","36","1.15"
"RSS Importer","35","1.12"
"JNews - Breadcrumb","35","1.12"
"JNews - View Counter","35","1.12"
"The SEO Framework","35","1.12"
"Give - Donation Plugin","35","1.12"
"Taqyeem Predefined Criteria","35","1.12"
"WP-PostViews","35","1.12"
"Taqyeem - Buttons Addon","35","1.12"
"Favicon by RealFaviconGenerator","35","1.12"
"WPML Multilingual CMS","35","1.12"
"Quform","35","1.12"
"Social Chat","35","1.12"
"Desert Companion","35","1.12"
"Accelerated Mobile Pages","35","1.12"
